ID,COO,Household Sex,Poverty Threshold,Governerate,ChildAge,ChildSex,Unaccompanied and Separated Children,special protection needs,Children with disability
245,SYR,M,,IRBID,4,M,,,
246,SYR,F,absolute,Amman,6,F,,,
247,SYR,F,absolute,Irbid,11,M,,,
248,SYR,M,abject,Irbid,8,M,,,
249,SYR,M,abject,Irbid,4,M,,,
250,SYR,M,,IRBID,15,M,,,
251,SYR,F,abject,Irbid,5,F,,,
252,SYR,M,absolute,Irbid,11,M,,,
253,SYR,F,absolute,Irbid,6,F,,,
254,SYR,F,abject,Irbid,14,F,,,
255,SYR,M,,Jerash,6,F,,,
256,SYR,M,,IRBID,11,F,,,
257,SYR,M,,IRBID,1,M,,,
258,SYR,F,abject,Amman,8,F,,,
259,SYR,M,,Jerash,4,M,,,
260,SYR,M,absolute,Irbid,14,F,,,
261,SYR,M,,Jerash,7,F,,,
262,SYR,M,absolute,Irbid,11,M,,,
263,SYR,M,abject,Irbid,9,M,,,
264,SYR,M,abject,Irbid,2,F,,,
265,SYR,M,,IRBID,4,M,,,
266,SYR,F,abject,Irbid,10,M,,,
267,SYR,M,absolute,Irbid,14,F,,,DS
268,SYR,F,absolute,Amman,3,M,,,
269,SYR,M,,IRBID,1,M,,,
270,SYR,F,absolute,Amman,9,F,,,
271,SYR,M,,IRBID,4,F,,,
272,SYR,M,,IRBID,14,M,,,
273,SYR,M,,IRBID,13,M,,,
274,SYR,M,,Jerash,4,M,,,
275,SYR,M,,IRBID,7,F,,,
276,SYR,M,,Jerash,11,F,,,
277,SYR,M,abject,Irbid,6,M,,,
278,SYR,F,absolute,Irbid,6,M,,,
279,SYR,F,absolute,Irbid,7,F,,,
280,SYR,F,absolute,Amman,1,M,,,
281,SYR,F,abject,Irbid,7,M,,,
282,SYR,M,,IRBID,10,F,,,
283,SYR,M,,IRBID,6,M,,,
284,SYR,F,,IRBID,13,M,,,
285,SYR,F,,Ajloun,17,M,,,
286,SYR,F,,Ajloun,1,M,,,
